List,Description,Done,DoneByXDate,HowMuchTimeItTakes,Notes,Files
"Baking Bread","Feed sourdough night before","false","2024-04-29","10 minutes","Prepare starter for next day baking",""
"Baking Bread","Mix ingredients","false","2024-04-30","15 minutes","Follow specific bread recipe",""
"Baking Bread","Let it rest 30 minutes","false","2024-04-30","30 minutes","Allow dough to rest and rise initially",""
"Baking Bread","Stretch and fold into a ball, repeat 4 times","false","2024-04-30","2 hours","Every 30 mins do a stretch and fold",""
"Baking Bread","Shape into a ball and let it rest 12 hours in fridge","false","2024-05-01","12 hours","Overnight fermentation in the fridge",""
"Baking Bread","Preheat oven and cast iron for 1 hr at 450f","false","2024-05-01","1 hour","Ensure oven is at optimal temperature",""
"Baking Bread","Put the bread in cast iron and score","false","2024-05-01","40 minutes","Score bread for aesthetic and practical baking reasons",""
"Baking Bread","Bake extra 10-20 minutes until golden brown","false","2024-05-01","20 minutes","Final bake to achieve crust color and texture",""
"Baking Bread","Let it cool for 1 hour","false","2024-05-01","1 hour","Cool on a wire rack to maintain crust texture",""
"Plan Trip to NY","Buy tickets for Met Museum","false","2024-05-01","15 minutes","Purchase online to avoid queues",""
"Plan Trip to NY","Buy tickets for WTC Sky View","false","2024-05-02","15 minutes","Check for weather conditions before booking",""
"Plan Trip to NY","Make reservations for Peter Luger","false","2024-05-03","20 minutes","Book well in advance due to popularity",""
"Plan Trip to NY","Buy tickets for NY Yankees","false","2024-05-04","20 minutes","Select optimal game and seating",""
"Plan Trip to NY","Decide what Broadway show to watch and buy tickets","false","2024-05-05","30 minutes","Choose based on reviews and availability",""
"Plan Trip to NY","Make hotel reservations","false","2024-05-06","25 minutes","Compare rates and locations in Manhattan",""
"Plan Trip to NY","Make flight reservations","false","2024-05-07","30 minutes","Book flights aligning with travel dates",""
"Plan Trip to NY","See climate to choose proper clothing","false","2024-05-08","10 minutes","Check weather forecast week before packing",""
"Plan Trip to NY","Highlight good restaurants around Central Park","false","2024-05-09","30 minutes","Look for variety and top-rated spots",""
"Plan Trip to NY","List of best sushi bars in town","false","2024-05-10","30 minutes","Research and note down top-rated sushi bars",""
"Picnic in a Park","Buy picnic basket","false","2024-05-01","15 minutes","Choose a large enough basket for all food items",""
"Picnic in a Park","Buy sunscreen","false","2024-05-02","5 minutes","SPF 50+ recommended",""
"Picnic in a Park","Buy cured meats, cheeses, artisan bread and wine and sodas","false","2024-05-03","30 minutes","Select a variety to cater to all tastes",""
"Picnic in a Park","Check if partner has bicycle ready","false","2024-05-04","10 minutes","Ensure both bicycles are in good condition",""
"Picnic in a Park","Check my bicycle","false","2024-05-05","15 minutes","Perform basic maintenance if necessary",""
"Picnic in a Park","Check climate","false","2024-05-06","5 minutes","Plan for weather-appropriate clothing and items",""
"Picnic in a Park","Prepare backpack with sunglasses, cards, keys","false","2024-05-07","10 minutes","Pack all essentials for a day out",""
"Mari Kondo My Home","Take all of my clothes out","false","2024-04-15","1 hour","Pile clothes on the bed to see everything",""
"Mari Kondo My Home","Process clothes to see if they spark joy or they go","false","2024-04-15","2 hours","Decide which clothes to keep",""
"Mari Kondo My Home","Put clothes where they belong","false","2024-04-16","1 hour","Organize clothes back into closet neatly",""
